,TP53mut,TP53wt,COX19mut,COX19wt,PLXNA1mut,PLXNA1wt,RPL37Amut,RPL37Awt,ERBB2mut,ERBB2wt,ERBB2exp,CACNB1ex9-ex10wt,CACNB1intr10-ex10
blue,2,0,1,2,1,4,0,4,0,2,2,3,0
green,2,0,2,2,1,4,0,4,1,5,52,4,0
orange,2,0,2,2,1,4,0,4,30,150,52,80,20
purple,2,0,2,3,1,3,1,4,0,2,2,3,0
wt,0,2,0,2,0,2,0,2,0,2,2,2,0
